Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Sam Martin punts 48 yards returned by Tyler Ervin for 1 yard (tackle by Logan Thomas),Sam Martin,48.0,Tyler Ervin,1.0,Logan Thomas,,,,,,,yards  yard (
Anthony Levine up the middle for 2 yards (tackle by Robert Spillane),,,,,Robert Spillane,,,,,,,Anthony Levine up the middle for 2 yards (
Logan Cooke punts 59 yards returned by Nyheim Hines for 2 yards (tackle by Leon Jacobs). Penalty on Marvell Tell: Illegal Block Above the Waist 5 yards,Logan Cooke,59.0,Nyheim Hines,2.0,Leon Jacobs,Marvell Tell,,,,,,yards  yards (.  Illegal Block Above the Waist 5 yards
Bryan Anger punts 50 yards fair catch by Rashard Davis at TEN-26,Bryan Anger,50.0,Rashard Davis,,,,,,,TEN-26,,yards
Penalty on Wesley Woodyard: False Start 5 yards (no play),,,,,,Wesley Woodyard,,,,,,False Start 5 yards (no play)
Penalty on TEN: Delay of Game 5 yards (no play),,,,,,TEN,,,,,,Delay of Game 5 yards (no play)
Tress Way punts 44 yards returned by Tavon Austin for 7 yards (tackle by Wendell Smallwood),Tress Way,44.0,Tavon Austin,7.0,Wendell Smallwood,,,,,,,yards  yards (
Sam Koch punts 54 yards downed by Chris Moore,Sam Koch,54.0,,,,,Chris Moore,,,,,yards
Penalty on Wesley Woodyard: Unsportsmanlike Conduct 12 yards (no play),,,,,,Wesley Woodyard,,,,,,Unsportsmanlike Conduct 12 yards (no play)
Brett Kern punts 53 yards returned by DeAndre Carter for 13 yards (tackle by Amani Hooker),Brett Kern,53.0,DeAndre Carter,13.0,Amani Hooker,,,,,,,yards  yards (
Jordan Berry aborted snap recovered by Jordan Berry at PIT-3 and returned for -19 yards. Jordan Berry fumbles (forced by Chris Board) recovered by Jordan Richards at PIT--3 touchdown,,,,,,,,,,PIT-3 and returned for -19 yards. Jordan Berry fumbles (forced by Chris Board) recovered by Jordan Richards at PIT--3 touchdown,,Jordan Berry aborted snap recovered by Jordan Berry
Penalty on Jacob Tuioti-Mariner: Neutral Zone Infraction 5 yards (no play),,,,,,Jacob Tuioti-Mariner,,,,,,Neutral Zone Infraction 5 yards (no play)
Bradley Pinion punts 46 yards returned by Kenjon Barner for -2 yards (tackle by Kevin Minter),Bradley Pinion,46.0,Kenjon Barner,-2.0,Kevin Minter,,,,,,,yards  yards (
Corey Bojorquez punts 28 yards out of bounds,Corey Bojorquez,28.0,,,,,,,,,out of bounds,yards
Mitch Wishnowsky punts 43 yards fair catch by David Moore at SEA-27,Mitch Wishnowsky,43.0,David Moore,,,,,,,SEA-27,,yards
Thomas Morstead punts 36 yards downed by Dwayne Washington,Thomas Morstead,36.0,,,,,Dwayne Washington,,,,,yards
Lac Edwards punts 54 yards downed by Darryl Roberts,Lac Edwards,54.0,,,,,Darryl Roberts,,,,,yards
Riley Dixon punts 45 yards fair catch by Greg Ward at PHI-34,Riley Dixon,45.0,Greg Ward,,,,,,,PHI-34,,yards
JK Scott punts 44 yards returned by Jamal Agnew for 11 yards (tackle by Kyler Fackrell),JK Scott,44.0,Jamal Agnew,11.0,Kyler Fackrell,,,,,,,yards  yards (
Corey Bojorquez punts 34 yards fair catch by Braxton Berrios at NYJ-48,Corey Bojorquez,34.0,Braxton Berrios,,,,,,,NYJ-48,,yards
Cameron Johnston punts 45 yards returned by Golden Tate for 17 yards (tackle by Nathan Gerry),Cameron Johnston,45.0,Golden Tate,17.0,Nathan Gerry,,,,,,,yards  yards (
Lac Edwards punts 39 yards downed by Darryl Roberts,Lac Edwards,39.0,,,,,Darryl Roberts,,,,,yards
Thomas Morstead punts 58 yards returned by Chris Hogan for 5 yards (tackle by J.T. Gray),Thomas Morstead,58.0,Chris Hogan,5.0,J.T. Gray,,,,,,,yards  yards (
Tress Way punts 61 yards returned by Tavon Austin for no gain (tackle by Darvin Kidsy). Penalty on Ray-Ray Armstrong: Offensive Holding 6 yards,Tress Way,61.0,Tavon Austin,0.0,Darvin Kidsy,Ray-Ray Armstrong,,,,,,yards  (.  Offensive Holding 6 yards
Colby Wadman punts 49 yards fair catch by Hunter Renfrow at OAK-21,Colby Wadman,49.0,Hunter Renfrow,,,,,,,OAK-21,,yards
Bradley Pinion punts 44 yards returned by Kenjon Barner for 5 yards (tackle by Justin Watson),Bradley Pinion,44.0,Kenjon Barner,5.0,Justin Watson,,,,,,,yards  yards (
Sam Martin punts 42 yards returned by Tyler Ervin for 16 yards (tackle by Logan Thomas),Sam Martin,42.0,Tyler Ervin,16.0,Logan Thomas,,,,,,,yards  yards (
Tress Way punts 70 yards touchback.,Tress Way,70.0,,,,,,,,,touchback,yards .
Cameron Johnston punts 46 yards returned by Golden Tate for no gain (tackle by Sidney Jones),Cameron Johnston,46.0,Golden Tate,0.0,Sidney Jones,,,,,,,yards  (
Sam Martin punts 52 yards fair catch by Tyler Ervin at GB-17,Sam Martin,52.0,Tyler Ervin,,,,,,,GB-17,,yards
Johnny Hekker punts 45 yards touchback.,Johnny Hekker,45.0,,,,,,,,,touchback,yards .
Sam Koch punts 48 yards fair catch by Mecole Hardman at KC-32,Sam Koch,48.0,Mecole Hardman,,,,,,,KC-32,,yards
Tommy Townsend punts 58 yards returned by James Proche for 16 yards (tackle by Dorian O'Daniel),Tommy Townsend,58.0,James Proche,16.0,Dorian O'Daniel,,,,,,,yards  yards (
Sam Koch punts 49 yards returned by Mecole Hardman for 7 yards (tackle by Morgan Cox),Sam Koch,49.0,Mecole Hardman,7.0,Morgan Cox,,,,,,,yards  yards (
Sam Koch punts 50 yards out of bounds,Sam Koch,50.0,,,,,,,,,out of bounds,yards
Michael Dickson punts 56 yards returned by CeeDee Lamb for 7 yards (tackle by Travis Homer),Michael Dickson,56.0,CeeDee Lamb,7.0,Travis Homer,,,,,,,yards  yards (
Jake Bailey punts 41 yards fair catch by Hunter Renfrow at LV-30,Jake Bailey,41.0,Hunter Renfrow,,,,,,,LV-30,,yards
Joseph Charlton punts 48 yards fair catch by K.J. Hill at LAC-25,Joseph Charlton,48.0,K.J. Hill,,,,,,,LAC-25,,yards
Thomas Morstead punts 35 yards fair catch by Tyler Ervin at GB-31,Thomas Morstead,35.0,Tyler Ervin,,,,,,,GB-31,,yards
Bryan Anger punts 48 yards downed by Cullen Gillaspia,Bryan Anger,48.0,,,,,Cullen Gillaspia,,,,,yards
Corey Bojorquez punts 44 yards fair catch by Cooper Kupp at LA-13,Corey Bojorquez,44.0,Cooper Kupp,,,,,,,LA-13,,yards
Kevin Huber punts 38 yards fair catch by Greg Ward at PHI-16,Kevin Huber,38.0,Greg Ward,,,,,,,PHI-16,,yards
Ty Long punts 42 yards returned by Pharoh Cooper for 8 yards (tackle by Uchenna Nwosu),Ty Long,42.0,Pharoh Cooper,8.0,Uchenna Nwosu,,,,,,,yards  yards (
Jamie Gillan punts 39 yards fair catch by Steven Sims at WAS-8,Jamie Gillan,39.0,Steven Sims,,,,,,,WAS-8,,yards
Sam Martin punts blocked by Pat O'Connor recovered by Pat O'Connor (tackle by Jacob Bobenmoyer). Penalty on Austin Calitro: Offensive Holding (Declined),,,,,Jacob Bobenmoyer,Austin Calitro,,Pat O'Connor,Pat O'Connor (.  Offensive Holding (Declined),,,Sam Martin punts
AJ Cole punts 46 yards returned by J.J. Taylor for 11 yards (tackle by Keisean Nixon),AJ Cole,46.0,J.J. Taylor,11.0,Keisean Nixon,,,,,,,yards  yards (
Britton Colquitt punts 53 yards returned by Kalif Raymond for 3 yards (tackle by Chad Beebe),Britton Colquitt,53.0,Kalif Raymond,3.0,Chad Beebe,,,,,,,yards  yards (
Penalty on Maxx Crosby: Defensive Offside 5 yards (no play),,,,,,Maxx Crosby,,,,,,Defensive Offside 5 yards (no play)
Sam Martin punts 48 yards downed by Andrew Beck,Sam Martin,48.0,,,,,Andrew Beck,,,,,yards
Tress Way punts 32 yards downed by Deshazor Everett,Tress Way,32.0,,,,,Deshazor Everett,,,,,yards
Jake Bailey punts 54 yards fair catch by Hunter Renfrow at LV-10,Jake Bailey,54.0,Hunter Renfrow,,,,,,,LV-10,,yards
Brett Kern punts 44 yards fair catch by Chad Beebe at MIN-33,Brett Kern,44.0,Chad Beebe,,,,,,,MIN-33,,yards
Kevin Huber punts 39 yards downed by Alex Erickson,Kevin Huber,39.0,,,,,Alex Erickson,,,,,yards
Bradley Pinion punts 36 yards fair catch by Diontae Spencer at DEN-16,Bradley Pinion,36.0,Diontae Spencer,,,,,,,DEN-16,,yards
Jamie Gillan punts 43 yards returned by Steven Sims for 1 yard (tackle by Sione Takitaki),Jamie Gillan,43.0,Steven Sims,1.0,Sione Takitaki,,,,,,,yards  yard (
Sam Martin punts 41 yards returned by Jaydon Mickens for 5 yards (tackle by LeVante Bellamy),Sam Martin,41.0,Jaydon Mickens,5.0,LeVante Bellamy,,,,,,,yards  yards (
Jack Fox punts 65 yards touchback.,Jack Fox,65.0,,,,,,,,,touchback,yards .
Dustin Colquitt punts 48 yards returned by DeAndre Carter for 8 yards (tackle by Olasunkanmi Adeniyi),Dustin Colquitt,48.0,DeAndre Carter,8.0,Olasunkanmi Adeniyi,,,,,,,yards  yards (
Michael Dickson punts 52 yards returned by CeeDee Lamb for 19 yards (tackle by Travis Homer and Jacob Hollister),Michael Dickson,52.0,CeeDee Lamb,19.0,Travis Homer and Jacob Hollister,,,,,,,yards  yards (
Bryan Anger punts 54 yards fair catch by Diontae Johnson at PIT-5,Bryan Anger,54.0,Diontae Johnson,,,,,,,PIT-5,,yards
Sterling Hofrichter punts 35 yards out of bounds,Sterling Hofrichter,35.0,,,,,,,,,out of bounds,yards
Dustin Colquitt punts 47 yards returned by Will Fuller for 1 yard (tackle by Chase Claypool and Justin Layne),Dustin Colquitt,47.0,Will Fuller,1.0,Chase Claypool and Justin Layne,,,,,,,yards  yard (
Pat O'Donnell punts 49 yards returned by Brandon Powell for 7 yards (tackle by Sherrick McManis),Pat O'Donnell,49.0,Brandon Powell,7.0,Sherrick McManis,,,,,,,yards  yards (
Kevin Huber punts 45 yards fair catch by DeSean Jackson at PHI-32,Kevin Huber,45.0,DeSean Jackson,,,,,,,PHI-32,,yards
Thomas Morstead punts 46 yards fair catch by Tyler Ervin at GB-35. Penalty on J.T. Gray: Unsportsmanlike Conduct 15 yards,Thomas Morstead,46.0,Tyler Ervin,,,,,,,GB-35. Penalty on J.T. Gray: Unsportsmanlike Conduct 15 yards,,yards
Braden Mann punts 45 yards returned by Nyheim Hines for 12 yards (tackle by Ryan Griffin and Neville Hewitt),Braden Mann,45.0,Nyheim Hines,12.0,Ryan Griffin and Neville Hewitt,,,,,,,yards  yards (
Cameron Johnston punts 45 yards returned by Alex Erickson for 2 yards (tackle by Duke Riley),Cameron Johnston,45.0,Alex Erickson,2.0,Duke Riley,,,,,,,yards  yards (
Jack Fox punts 54 yards fair catch by Andy Isabella at ARI-10,Jack Fox,54.0,Andy Isabella,,,,,,,ARI-10,,yards
Kevin Huber punts 33 yards fair catch by Greg Ward at PHI-19,Kevin Huber,33.0,Greg Ward,,,,,,,PHI-19,,yards
Chris Jones punts 49 yards muffed catch by David Moore,Chris Jones,49.0,,,,,,,,,,yards muffed catch by David Moore
Cameron Johnston punts 53 yards returned by Alex Erickson for 19 yards (tackle by Rick Lovato and Richard Rodgers). Penalty on Corey Clement: Unnecessary Roughness 15 yards,Cameron Johnston,53.0,Alex Erickson,19.0,Rick Lovato and Richard Rodgers,Corey Clement,,,,,,yards  yards (.  Unnecessary Roughness 15 yards
Penalty on Josh Woods: False Start 5 yards (no play),,,,,,Josh Woods,,,,,,False Start 5 yards (no play)
Pat O'Donnell punts 54 yards returned by Brandon Powell for 11 yards (tackle by Cordarrelle Patterson),Pat O'Donnell,54.0,Brandon Powell,11.0,Cordarrelle Patterson,,,,,,,yards  yards (
Michael Dickson punts 64 yards touchback.,Michael Dickson,64.0,,,,,,,,,touchback,yards .
Chris Jones punts 48 yards fair catch by David Moore at SEA-29,Chris Jones,48.0,David Moore,,,,,,,SEA-29,,yards
AJ Cole punts 44 yards fair catch by Damiere Byrd at NE-14,AJ Cole,44.0,Damiere Byrd,,,,,,,NE-14,,yards
JK Scott punts 38 yards returned by Deonte Harris for 14 yards (tackle by Oren Burks),JK Scott,38.0,Deonte Harris,14.0,Oren Burks,,,,,,,yards  yards (
Rigoberto Sanchez punts 38 yards fair catch by Chris Hogan at NYJ-7,Rigoberto Sanchez,38.0,Chris Hogan,,,,,,,NYJ-7,,yards
Sam Martin punts 49 yards returned by Jaydon Mickens for 13 yards (tackle by Josey Jewell),Sam Martin,49.0,Jaydon Mickens,13.0,Josey Jewell,,,,,,,yards  yards (
Bryan Anger punts 58 yards returned by Ray-Ray McCloud for 13 yards (tackle by A.J. Moore),Bryan Anger,58.0,Ray-Ray McCloud,13.0,A.J. Moore,,,,,,,yards  yards (
Tress Way punts 55 yards returned by Jojo Natson for 11 yards (tackle by Shaun Dion Hamilton),Tress Way,55.0,Jojo Natson,11.0,Shaun Dion Hamilton,,,,,,,yards  yards (
Braden Mann punts 38 yards fair catch by Nyheim Hines at IND-41,Braden Mann,38.0,Nyheim Hines,,,,,,,IND-41,,yards
Jamie Gillan punts 50 yards out of bounds,Jamie Gillan,50.0,,,,,,,,,out of bounds,yards
Brett Kern punts 59 yards touchback.,Brett Kern,59.0,,,,,,,,,touchback,yards .
Sterling Hofrichter punts 44 yards out of bounds,Sterling Hofrichter,44.0,,,,,,,,,out of bounds,yards
Penalty on J.P. Holtz: False Start 5 yards (no play),,,,,,J.P. Holtz,,,,,,False Start 5 yards (no play)
Pat O'Donnell punts 48 yards fair catch by Brandon Powell at ATL-14,Pat O'Donnell,48.0,Brandon Powell,,,,,,,ATL-14,,yards
Rigoberto Sanchez punts 42 yards fair catch by Chris Hogan at NYJ-8,Rigoberto Sanchez,42.0,Chris Hogan,,,,,,,NYJ-8,,yards
Ty Long punts 47 yards downed by Brandon Facyson,Ty Long,47.0,,,,,Brandon Facyson,,,,,yards
Brett Kern punts 40 yards fair catch by Chad Beebe at MIN-12,Brett Kern,40.0,Chad Beebe,,,,,,,MIN-12,,yards
Braden Mann punts 40 yards fair catch by Nyheim Hines at IND-45,Braden Mann,40.0,Nyheim Hines,,,,,,,IND-45,,yards
Tress Way punts 60 yards returned by D'Ernest Johnson for no gain (tackle by Isaiah Wright),Tress Way,60.0,D'Ernest Johnson,0.0,Isaiah Wright,,,,,,,yards  (
Joseph Charlton punts 50 yards returned by K.J. Hill for no gain (tackle by Troy Pride),Joseph Charlton,50.0,K.J. Hill,0.0,Troy Pride,,,,,,,yards  (
Michael Dickson punts 52 yards touchback.,Michael Dickson,52.0,,,,,,,,,touchback,yards .
Bradley Pinion punts 41 yards fair catch by Diontae Spencer at DEN-8,Bradley Pinion,41.0,Diontae Spencer,,,,,,,DEN-8,,yards
Jamie Gillan punts 57 yards returned by Steven Sims for 19 yards (tackle by Andy Janovich),Jamie Gillan,57.0,Steven Sims,19.0,Andy Janovich,,,,,,,yards  yards (
Ty Long punts 30 yards fair catch by Pharoh Cooper at CAR-10,Ty Long,30.0,Pharoh Cooper,,,,,,,CAR-10,,yards
Jack Fox punts 60 yards,Jack Fox,60.0,,,,,,,,,,yards
Joseph Charlton punts 52 yards returned by K.J. Hill for 10 yards (tackle by Reggie Bonnafon),Joseph Charlton,52.0,K.J. Hill,10.0,Reggie Bonnafon,,,,,,,yards  yards (
Braden Mann punts 42 yards out of bounds,Braden Mann,42.0,,,,,,,,,out of bounds,yards
Bradley Pinion punts 42 yards fair catch by Diontae Spencer at DEN-15,Bradley Pinion,42.0,Diontae Spencer,,,,,,,DEN-15,,yards
Bryan Anger punts 43 yards returned by Ray-Ray McCloud for 12 yards (tackle by Jon Weeks),Bryan Anger,43.0,Ray-Ray McCloud,12.0,Jon Weeks,,,,,,,yards  yards (
Rigoberto Sanchez punts 45 yards fair catch by Chris Hogan at NYJ-25,Rigoberto Sanchez,45.0,Chris Hogan,,,,,,,NYJ-25,,yards
Jamie Gillan punts 40 yards returned by Steven Sims for 3 yards (tackle by Tavierre Thomas),Jamie Gillan,40.0,Steven Sims,3.0,Tavierre Thomas,,,,,,,yards  yards (
Sam Martin punts 47 yards returned by Jaydon Mickens for 3 yards (tackle by LeVante Bellamy),Sam Martin,47.0,Jaydon Mickens,3.0,LeVante Bellamy,,,,,,,yards  yards (
Dustin Colquitt punts 34 yards downed by Robert Spillane,Dustin Colquitt,34.0,,,,,Robert Spillane,,,,,yards
Penalty on HOU: Delay of Game 5 yards (no play),,,,,,HOU,,,,,,Delay of Game 5 yards (no play)
AJ Cole punts 46 yards fair catch by Damiere Byrd at NE-25,AJ Cole,46.0,Damiere Byrd,,,,,,,NE-25,,yards
Bryan Anger punts 44 yards out of bounds,Bryan Anger,44.0,,,,,,,,,out of bounds,yards
Bradley Pinion punts 58 yards touchback.,Bradley Pinion,58.0,,,,,,,,,touchback,yards .
Corey Bojorquez punts 72 yards downed by Siran Neal,Corey Bojorquez,72.0,,,,,Siran Neal,,,,,yards
Dustin Colquitt punts 48 yards returned by DeAndre Carter for 8 yards (tackle by Olasunkanmi Adeniyi),Dustin Colquitt,48.0,DeAndre Carter,8.0,Olasunkanmi Adeniyi,,,,,,,yards  yards (
Penalty on DAL: Delay of Game 5 yards (no play),,,,,,DAL,,,,,,Delay of Game 5 yards (no play)
Britton Colquitt punts 33 yards fair catch by Kalif Raymond at TEN-35,Britton Colquitt,33.0,Kalif Raymond,,,,,,,TEN-35,,yards
Chris Jones punts 42 yards fair catch by David Moore at SEA-17,Chris Jones,42.0,David Moore,,,,,,,SEA-17,,yards
Sterling Hofrichter punts 30 yards fair catch by Tarik Cohen at CHI-10,Sterling Hofrichter,30.0,Tarik Cohen,,,,,,,CHI-10,,yards
Braden Mann punts 45 yards returned by Isaiah Rodgers for 12 yards (tackle by Nate Hairston). Penalty on E.J. Speed: Offensive Holding 10 yards,Braden Mann,45.0,Isaiah Rodgers,12.0,Nate Hairston,E.J. Speed,,,,,,yards  yards (.  Offensive Holding 10 yards
Pat O'Donnell punts 64 yards returned by Brandon Powell for 14 yards (tackle by Deon Bush). Penalty on Josh Woods: Offensive Holding 10 yards,Pat O'Donnell,64.0,Brandon Powell,14.0,Deon Bush,Josh Woods,,,,,,yards  yards (.  Offensive Holding 10 yards
Michael Dickson punts 67 yards returned by CeeDee Lamb for 6 yards (tackle by Nick Bellore). Penalty on Saivion Smith: Illegal Block Above the Waist 6 yards,Michael Dickson,67.0,CeeDee Lamb,6.0,Nick Bellore,Saivion Smith,,,,,,yards  yards (.  Illegal Block Above the Waist 6 yards
Riley Dixon punts 54 yards downed by Casey Kreiter,Riley Dixon,54.0,,,,,Casey Kreiter,,,,,yards
Rigoberto Sanchez punts 50 yards fair catch by Chris Hogan at NYJ-8. Penalty on Nate Hairston: Offensive Holding 4 yards,Rigoberto Sanchez,50.0,Chris Hogan,,,,,,,NYJ-8. Penalty on Nate Hairston: Offensive Holding 4 yards,,yards
Sam Martin punts 41 yards out of bounds,Sam Martin,41.0,,,,,,,,,out of bounds,yards
Jack Fox punts 43 yards downed by Tony McRae,Jack Fox,43.0,,,,,Tony McRae,,,,,yards
Cameron Johnston punts 47 yards returned by Alex Erickson for 6 yards (tackle by Corey Clement),Cameron Johnston,47.0,Alex Erickson,6.0,Corey Clement,,,,,,,yards  yards (
Thomas Morstead punts 34 yards fair catch by Tyler Ervin at GB-36,Thomas Morstead,34.0,Tyler Ervin,,,,,,,GB-36,,yards
Michael Dickson punts 45 yards returned by Cedrick Wilson for 1 yard (tackle by Ryan Neal),Michael Dickson,45.0,Cedrick Wilson,1.0,Ryan Neal,,,,,,,yards  yard (
Penalty on Kevin Minter: False Start 5 yards (no play),,,,,,Kevin Minter,,,,,,False Start 5 yards (no play)
Andy Lee punts 51 yards returned by Jamal Agnew for 19 yards (tackle by Zeke Turner and Haason Reddick),Andy Lee,51.0,Jamal Agnew,19.0,Zeke Turner and Haason Reddick,,,,,,,yards  yards (
Bradley Pinion punts 42 yards out of bounds,Bradley Pinion,42.0,,,,,,,,,out of bounds,yards
Bryan Anger punts 44 yards fair catch by Ray-Ray McCloud at PIT-31,Bryan Anger,44.0,Ray-Ray McCloud,,,,,,,PIT-31,,yards
Sterling Hofrichter punts 40 yards fair catch by Tarik Cohen at CHI-38,Sterling Hofrichter,40.0,Tarik Cohen,,,,,,,CHI-38,,yards
Joseph Charlton punts 40 yards touchback.,Joseph Charlton,40.0,,,,,,,,,touchback,yards .
Penalty on Chad Beebe: False Start 5 yards (no play),,,,,,Chad Beebe,,,,,,False Start 5 yards (no play)
Britton Colquitt punts 46 yards returned by Kalif Raymond for 2 yards (tackle by Ameer Abdullah),Britton Colquitt,46.0,Kalif Raymond,2.0,Ameer Abdullah,,,,,,,yards  yards (
Andy Lee punts 41 yards downed by Trent Sherfield,Andy Lee,41.0,,,,,Trent Sherfield,,,,,yards
Michael Dickson punts 47 yards downed by Tyler Ott,Michael Dickson,47.0,,,,,Tyler Ott,,,,,yards
Sterling Hofrichter punts 39 yards fair catch by Anthony Miller at CHI-45,Sterling Hofrichter,39.0,Anthony Miller,,,,,,,CHI-45,,yards
Kevin Huber punts 46 yards fair catch by Greg Ward at PHI-11,Kevin Huber,46.0,Greg Ward,,,,,,,PHI-11,,yards
Sterling Hofrichter punts 45 yards returned by Anthony Miller for 6 yards (tackle by Jacob Tuioti-Mariner). Penalty on Keith Smith: Unnecessary Roughness 15 yards,Sterling Hofrichter,45.0,Anthony Miller,6.0,Jacob Tuioti-Mariner,Keith Smith,,,,,,yards  yards (.  Unnecessary Roughness 15 yards
Cameron Johnston punts 56 yards returned by Alex Erickson for 10 yards (tackle by T.J. Edwards and K'Von Wallace),Cameron Johnston,56.0,Alex Erickson,10.0,T.J. Edwards and K'Von Wallace,,,,,,,yards  yards (
Kevin Huber punts 48 yards returned by Greg Ward for 1 yard (tackle by Brandon Wilson),Kevin Huber,48.0,Greg Ward,1.0,Brandon Wilson,,,,,,,yards  yard (
Cameron Johnston punts 43 yards fair catch by Alex Erickson at CIN-9,Cameron Johnston,43.0,Alex Erickson,,,,,,,CIN-9,,yards
Kevin Huber punts 49 yards returned by Greg Ward for 1 yard (tackle by Cethan Carter),Kevin Huber,49.0,Greg Ward,1.0,Cethan Carter,,,,,,,yards  yard (
Penalty on PHI: Delay of Game 5 yards (no play),,,,,,PHI,,,,,,Delay of Game 5 yards (no play)
Cameron Johnston punts 40 yards fair catch by Alex Erickson at CIN-11,Cameron Johnston,40.0,Alex Erickson,,,,,,,CIN-11,,yards
Logan Cooke punts 45 yards touchback.,Logan Cooke,45.0,,,,,,,,,touchback,yards .
Matt Haack punts 38 yards fair catch by Keelan Cole at JAC-12,Matt Haack,38.0,Keelan Cole,,,,,,,JAC-12,,yards
